Well ID,Avg Pump Difference,Lateral Length,TVD,PARENT_CODEV_1050_WELL_COUNT,PARENT_IN_ZONE_MIN_HYPOT,PARENT_OUT_ZONE_MIN_HYPOT,PARENT_IN_ZONE_MIN_MAP_DIST,PARENT_OUT_ZONE_MIN_MAP_DIST,PARENT_1050_AVG_WELL_AGE,PARENT_1050_MEDIAN_WELL_AGE,PARENT_1050_WELL_COUNT,PARENT_3000_AVG_HYPOT_DIST,PARENT_3000_AVG_MAP_DIST,PARENT_3000_AVG_TVD_DIST,PARENT_3000_AVG_WELL_AGE,PARENT_3000_MEDIAN_WELL_AGE,PARENT_3000_WELL_COUNT,CODEV_IN_ZONE_MIN_HYPOT,CODEV_OUT_ZONE_MIN_HYPOT,CODEV_IN_ZONE_MIN_MAP_DIST,CODEV_1050_WELL_COUNT,CODEV_3000_AVG_HYPOT_DIST,CODEV_3000_AVG_MAP_DIST,CODEV_3000_AVG_TVD_DIST,CODEV_3000_AVG_WELL_AGE,CODEV_3000_MEDIAN_WELL_AGE,CODEV_3000_WELL_COUNT,Pressure Gradient (psi/ft) new,Soak Time,Avg Open Pressure,SD Open Pressure,Avg Close Pressure,SD Close Pressure
148,-0.56,7300,8535,3,1620,1169,1619,1124,,,0,2220,2159,447,1924,1269,12,,299,,3,543,161,507,0.7,1,3,0.573094568,113,3349.964309,143.4,3174.788642,455.8
149,11.31,11800,8215,2,1934,788,1914,0,5648,5647.5,2,1876,1518,770,4305,5032,10,1320,,1320,0,1650,1650,14,1,1,2,0.497507574,129,2692.737861,176.5,2094.233551,800.8
150,11.7,11400,9110,6,1465,710,1465,640,4406,4406,1,2172,2086,471,2866,2638,17,1011,597,1011,5,1018,737,597,-0.6,-1,7,0.556864871,195,3229.885956,868.2,2429.851705,491.7
151,3.86,9600,7345,6,637,397,636,188,4952,4794,5,1589,1474,418,4182,3460.5,14,677,,676,1,1542,1542,25,17.7,1,3,0.548505379,278,2570.272566,109,2101.778068,195.8
152,7.71,9600,7345,6,637,397,636,188,4952,4794,5,1589,1474,418,4182,3460.5,14,677,,676,1,1542,1542,25,17.7,1,3,0.546938715,342,2553.961908,111.5,2178.882147,177.6
153,-2.47,10200,9475,3,,,,,,,0,,,,,,0,787,411,787,3,1263,858,689,-1.4,-1.5,10,0.606314397,76,2919.941462,276.5,2657.547911,596.9
154,-0.71,10200,9475,3,,,,,,,0,,,,,,0,787,411,787,3,1263,858,689,-1.4,-1.5,10,0.605526426,98,2859.650296,280.7,2451.90137,520.2
155,12.44,9600,7345,6,637,397,636,188,4952,4794,5,1589,1474,418,4182,3460.5,14,677,,676,1,1542,1542,25,17.7,1,3,0.545013956,376,2499.417045,105,1969.816576,226.6
156,5.27,12600,9310,4,1228,814,1228,3,1701,1700.5,2,2248,2056,623,1907,624,21,844,843,844,2,1654,1442,611,-2.3,1,7,0.577359106,456,3242.812405,153.3,2877.138122,227
157,-7,9800,8435,3,2655,2475,2654,2434,,,0,2643,2623,236,1074,1074,2,850,485,850,3,1149,1033,287,-1.2,-1,5,0.561498688,44,2769.57419,130.6,2289.427364,334
158,5.71,7500,8985,4,736,843,734,214,2496,2495.5,2,1938,1622,767,2031,2437,18,,624,,2,1074,790,626,0.7,1,3,0.494821106,41,2278.39469,249.8,1324.59823,647.2
159,10.62,7500,8985,4,736,843,734,214,2496,2495.5,2,1938,1622,767,2031,2437,18,,624,,2,1074,790,626,0.7,1,3,0.493016176,88,2189.968557,190.1,1408.901054,694.5
160,16.97,7500,8985,4,736,843,734,214,2496,2495.5,2,1938,1622,767,2031,2437,18,,624,,2,1074,790,626,0.7,1,3,0.490681897,134,2204.64935,191,1123.938884,696.4
161,59.23,10000,8475,5,697,530,695,171,3489,3488.5,2,1801,1677,504,1856,1651,12,880,544,880,3,1635,1516,322,-0.6,-1,7,0.543280909,564,2825.472997,179.4,2453.491958,772.5
162,4.26,10000,9085,5,2794,2693,2793,1172,,,0,2867,2530,857,2196,1065,5,795,424,795,5,1703,1486,597,1.8,1,24,0.573436957,435,3159.452174,215,3048.83913,542.3
163,5.1,9000,,2,2611,942,2610,0,1049,1048.5,2,2471,1701,1581,1275,1035,41,1134,,1134,0,1149,1149,23,0,0,1,0.541161144,38,3480.652674,194.3,3228.586918,333.8
164,12.08,8800,10520,1,1415,961,1415,0,2862,2862,1,2391,1577,1553,2937,2875,37,1201,,1200,0,1201,1200,38,0,0,1,0.538356253,118,3531.805048,135.3,3114.487134,409.8
165,42.28,9000,10520,1,1415,961,1415,0,2862,2862,1,2391,1577,1553,2937,2875,37,1201,,1200,0,1201,1200,38,0,0,1,0.526220478,112,3223.889381,114,3042.133097,534.9
166,20.89,10200,9065,3,1059,181,1042,88,4614,4614,1,1730,1684,281,3607,3968,9,576,1032,565,2,1382,1323,224,-1,-1,4,0.505115363,29,3272.850619,186.2,2823.121947,723.1
167,6.69,10000,9085,5,2794,2693,2793,1172,,,0,2867,2530,857,2196,1065,5,795,424,795,5,1703,1486,597,1.8,1,24,0.578302868,280,3301.484148,466.2,3030.730342,424.7
168,95.62,10200,8815,3,1202,906,1201,879,3612,3612,1,1872,1833,299,3124,3208,13,,491,,2,836,76,831,0.7,1,3,0.476753042,129,2899.779,333,2069.137445,1131.9
169,74.43,10200,9065,3,1059,181,1042,88,4614,4614,1,1730,1684,281,3607,3968,9,576,1032,565,2,1382,1323,224,-1,-1,4,0.484795295,236,2869.74137,318,1955.017345,1017.6
170,19.04,15500,8700,3,2820,2048,2820,1960,,,0,2582,2533,405,399,399,3,860,626,860,3,894,688,381,1.2,1,5,0.508894243,112,2652.091397,314.6,2083.410681,530
171,20.93,16000,7720,3,2269,1220,2258,266,,,0,2306,1965,924,2533,875,7,720,402,720,3,890,823,208,1.2,1,5,0.508172567,197,2741.192112,235.2,1695.031604,487.2
172,18.53,10200,8985,4,736,843,734,214,2496,2495.5,2,1938,1622,767,2031,2437,18,,624,,2,1074,790,626,0.7,1,3,0.574648808,250,2981.228426,254.6,2521.525948,490.1
173,-6.95,10300,8390,4,,,,,,,0,,,,,,0,843,657,843,4,1512,1433,316,1.2,1,10,0.552904246,33,2901.40995,180,2612.251004,492.5
174,19.72,10300,8390,4,,,,,,,0,,,,,,0,843,657,843,4,1512,1433,316,1.2,1,10,0.544716692,31,2862.625148,174.9,2721.909165,527.1
175,8.31,15400,8335,2,2746,2418,2746,2412,,,0,2678,2607,432,732,700.5,4,562,1384,562,2,1556,1556,21,7.1,16,7,0.564166454,310,3348.244094,229.3,2846.434552,1109.5
176,21.04,9900,10415,2,,980,,50,1764,1764,2,2071,1242,1483,1840,1764,12,1455,,1455,0,1490,1490,4,0,0,1,0.51058827,39,2537.420385,190.7,1685.325063,580.9
177,21.98,10000,10415,2,,980,,50,1764,1764,2,2071,1242,1483,1840,1764,12,1455,,1455,0,1490,1490,4,0,0,1,0.510739265,112,2325.636337,197.6,2008.504109,543.5
178,5.87,15800,8335,2,2746,2418,2746,2412,,,0,2678,2607,432,732,700.5,4,562,1384,562,2,1556,1556,21,7.1,16,7,0.565191085,415,3355.734944,320.7,3106.09055,538.4
179,13.8,10000,10415,2,,980,,50,1764,1764,2,2071,1242,1483,1840,1764,12,1455,,1455,0,1490,1490,4,0,0,1,0.513880965,178,2519.909296,324.3,1889.667164,633.4
180,37,15800,8335,2,2746,2418,2746,2412,,,0,2678,2607,432,732,700.5,4,562,1384,562,2,1556,1556,21,7.1,16,7,0.552118641,488,3169.855167,185.2,3050.102809,531.4
181,15.19,10000,10055,0,1341,1291,1341,71,,,0,2444,1728,1475,3145,1743,33,1283,,1283,0,1326,1326,19,0,0,1,0.566522913,135,2778.035644,687.2,2535.961762,456.7
182,19.2,10000,10285,1,1038,1115,1038,0,2020,2020,1,2536,1680,1639,3847,2443,29,1775,,1775,0,1783,1783,28,0,0,1,0.564823254,126,2569.498384,140.3,2313.074005,597.7
183,38.38,10000,10275,1,,984,,4,5286,5286,1,2275,1394,1586,3199,3837,16,1639,1800,1639,0,1950,1402,1085,-0.7,-1,3,0.556693708,190,2584.143363,124.1,2555.544148,399.2
184,19.4,10400,10090,0,,1408,,42,,,0,2582,1602,1871,1799,1843,20,1511,,1511,0,1647,1647,1,0,0,1,0.547718405,219,2666.452682,131.6,1770.280839,800.3
185,19.03,10400,10090,0,,1408,,42,,,0,2582,1602,1871,1799,1843,20,1511,,1511,0,1647,1647,1,0,0,1,0.547870505,266,2722.559369,170.9,2523.886118,688
186,36.14,10400,10090,0,,1408,,42,,,0,2582,1602,1871,1799,1843,20,1511,,1511,0,1647,1647,1,0,0,1,0.540836906,285,2655.381216,154.5,2462.709788,547.5
187,28.1,10500,8810,4,1781,1587,1778,1491,,,0,2300,2250,295,1923,1481.5,12,666,682,666,4,851,706,343,0,0,5,0.502990114,154,2913.556622,291.7,1741.495752,676.9
188,31.06,10400,8810,4,1781,1587,1778,1491,,,0,2300,2250,295,1923,1481.5,12,666,682,666,4,851,706,343,0,0,5,0.501865337,213,2964.785264,252.1,2221.265448,624
189,33.72,10000,7520,2,784,,782,,3968,3968,1,1628,1626,79,4105,4104.5,4,1980,696,1980,1,1556,1540,155,-0.7,-1,3,0.492131695,41,2410.974005,144.5,2433.602601,375.6
190,5.62,10400,8810,4,1781,1587,1778,1491,,,0,2300,2250,295,1923,1481.5,12,666,682,666,4,851,706,343,0,0,5,0.511532341,309,3061.117722,306.5,1963.574113,883.5
191,20.53,10000,7520,2,784,,782,,3968,3968,1,1628,1626,79,4105,4104.5,4,1980,696,1980,1,1556,1540,155,-0.7,-1,3,0.497056503,107,2485.828165,203.5,2458.557476,451.7
192,23.17,9800,10650,0,1142,1283,1142,0,,,0,2602,1580,1815,3088,2258.5,26,1847,,1847,0,1847,1847,16,0,0,1,0.543612617,32,2738.44581,110.2,2779.193382,365.7
193,23.53,10000,8755,4,1537,417,1537,1,3162,3172,3,1870,1796,322,2430,3142,12,882,,882,1,1172,1172,10,1,1,2,0.49593638,171,2424.761231,158.4,2323.468449,334.8
195,28.3,10000,9475,5,2331,904,2326,434,171,171,1,1948,1770,667,1366,171,7,580,519,580,4,1499,1409,285,16.9,30,11,0.505867641,29,2712.567541,254.9,2313.355575,794
196,62.34,9800,10650,0,1142,1283,1142,0,,,0,2602,1580,1815,3088,2258.5,26,1847,,1847,0,1847,1847,16,0,0,1,0.527585923,176,2514.476383,106.7,2120.666456,475.1
197,41.75,10000,9475,5,2331,904,2326,434,171,171,1,1948,1770,667,1366,171,7,580,519,580,4,1499,1409,285,16.9,30,11,0.500726729,148,2597.442801,193.2,2254.978707,442.3
198,-0.84,12800,9965,1,1677,1226,1499,4,,,0,2241,1168,1739,5024,4365.5,18,919,,918,1,967,967,35,0,0,1,0.606521422,441,2621.10985,217.3,1434.416699,243.4
199,2.96,12500,10130,0,,1315,,332,,,0,2214,1430,1577,1520,1520,12,1092,,1092,0,1100,1100,4,0,0,1,0.605544059,41,2745.732051,196.6,1683.805117,1002.2
200,-2.1,12600,10130,0,,1315,,332,,,0,2214,1430,1577,1520,1520,12,1092,,1092,0,1100,1100,4,0,0,1,0.607815705,130,2846.88364,269.3,1917.067818,1069.3
201,34.33,12700,8455,6,871,540,871,85,5664,6217,6,1943,1553,858,4339,5900,29,1456,1142,1456,0,1859,1751,503,32.6,53,5,0.501028289,181,2727.339854,485.6,2165.224217,657
202,43.13,9800,10235,1,1887,1183,1887,1,,,0,2373,1646,1455,3037,3695,27,826,,826,1,838,838,1,0,0,1,0.49727883,60,2730.944463,255.1,2086.997291,740.5
203,23.1,12600,8045,9,,535,,0,3131,3132,5,1989,1508,1031,2879,3133,18,722,276,722,4,703,646,139,0.3,0.5,4,0.505299059,282,2707.380662,157.5,2690.661985,615
204,39.95,9800,10235,1,1887,1183,1887,1,,,0,2373,1646,1455,3037,3695,27,826,,826,1,838,838,1,0,0,1,0.498487205,189,2661.586795,167.9,1997.20908,497.2
205,8.21,12700,10365,0,,1143,,10,,,0,2150,1389,1436,924,846,16,1200,,1200,0,1758,1758,8,0.7,1,3,0.510961728,359,2804.131512,142.3,2854.3197,394.8
206,16.66,10300,10355,1,,1159,,3,,,0,2263,1614,1454,788,842,16,1026,,1026,1,1859,1859,6,-0.5,-0.5,2,0.509494796,39,2144.46691,317.7,2110.712389,567.7
207,17.37,15400,8340,3,1446,596,1446,61,126,125.5,2,1992,1761,647,1081,140,19,1200,264,1200,1,918,839,183,0.7,1,3,0.517438798,547,2659.629796,204,2523.697845,664
208,26.09,10200,8070,5,,680,,2,4401,4401,3,1856,1184,1195,3673,4400,11,800,263,800,2,987,935,140,0.3,0.5,4,0.50589623,107,2019.252397,214.3,1753.971943,312.3
209,29.88,10200,10355,1,,1136,,1,,,0,2159,1454,1443,817,844,16,1026,,1026,1,1750,1750,9,-0.7,-1,3,0.504449934,172,2143.447726,873.6,2124.827041,529.7
210,13.57,15800,8355,1,,2205,,2188,,,0,2432,2299,697,3022,2979,3,1411,260,1411,1,1047,954,174,0.7,1,3,0.5194272,139,3062.199077,346,2622.471528,678.2
213,30.62,15700,8375,3,,830,,777,2882,2882,2,1912,1708,742,3029,2979,8,1411,261,1411,1,1050,954,187,0.7,1,3,0.512809254,217,2714.593621,245.5,2578.192266,901.9
214,0.54,10400,10040,1,,984,,21,4936,4936,1,2354,1458,1693,3416,2704.5,24,1437,,1437,0,1441,1441,16,0,0,1,0.638137019,73,2909.625279,172,1749.014082,208.3
215,6.73,9800,8340,3,,1178,,243,,,0,2188,1788,1125,4658,4791,8,561,290,561,3,812,743,216,-1,-1,4,0.551270714,290,2789.780893,121.6,2643.175606,397.6
216,9.69,9800,8340,3,,1178,,243,,,0,2188,1788,1125,4658,4791,8,561,290,561,3,812,743,216,-1,-1,4,0.550057558,353,2758.72444,138.4,2515.777676,424.6
217,5.94,9700,8340,3,,1178,,243,,,0,2188,1788,1125,4658,4791,8,561,290,561,3,812,743,216,-1,-1,4,0.551594496,414,2721.171681,108,2383.70354,608.6
218,23.36,10300,10415,2,,980,,50,1764,1764,2,2071,1242,1483,1840,1764,12,1455,,1455,0,1490,1490,4,0,0,1,0.590354319,47,2801.394921,177.8,2238.400192,381.4
219,-1.54,15400,8480,6,2618,508,2618,6,4002,4001.5,4,2141,1997,523,2559,1966,15,1297,305,1297,2,995,798,393,1.2,1,5,0.558825852,109,3102.335321,216.1,2510.022085,617.1
221,71.19,10300,10415,2,,980,,50,1764,1764,2,2071,1242,1483,1840,1764,12,1455,,1455,0,1490,1490,4,0,0,1,0.569098586,114,2720.473551,168.1,2288.421185,451.1
222,-9.64,15400,9115,5,1454,151,1453,86,6575,6572,4,1933,1800,503,3077,1646.5,22,1040,1267,1040,1,1377,922,776,0.3,0.5,4,0.562170569,164,3281.536437,169,2623.257599,487.7
223,19.15,12800,10570,1,1122,1232,1122,268,,,0,2174,1467,1445,3186,3359.5,26,1000,,1000,1,1500,1500,29,-0.5,-0.5,2,0.512544035,407,2574.941516,158,2112.50304,591.8
224,25.99,12800,10545,2,2122,1096,2121,76,,,0,2308,1535,1546,2956,3358,27,1000,,1000,2,1000,1000,17,-0.5,-0.5,2,0.509913306,502,2573.080854,156.5,2105.910088,766
225,46.45,10300,8335,2,2746,2418,2746,2412,,,0,2678,2607,432,732,700.5,4,562,1384,562,2,1556,1556,21,7.1,16,7,0.524243429,65,2110.786949,166.4,903.0374375,365.2
226,31.5,10300,8335,2,2746,2418,2746,2412,,,0,2678,2607,432,732,700.5,4,562,1384,562,2,1556,1556,21,7.1,16,7,0.530247589,60,1900.924155,183.4,945.3021316,577.4
227,19.06,12800,10545,2,2122,1096,2121,76,,,0,2308,1535,1546,2956,3358,27,1000,,1000,2,1000,1000,17,-0.5,-0.5,2,0.512578649,593,2613.121739,170.7,1950.906656,780.2
228,40.74,10300,8335,2,2746,2418,2746,2412,,,0,2678,2607,432,732,700.5,4,562,1384,562,2,1556,1556,21,7.1,16,7,0.526536657,203,1824.858692,128.6,933.2935975,409
229,3.3,12600,8920,3,1217,936,1217,911,1016,1016,1,1999,1889,556,1134,1019,12,610,852,610,2,746,489,400,2,2,2,0.553714195,43,3015.39506,221.4,2746.547426,565.7
230,3.03,12600,10085,0,,1392,,40,,,0,2467,1462,1809,2132,1860,23,1508,,1508,0,1644,1644,1,0,0,1,0.553825062,49,3041.303786,222.1,2686.28778,622.1
231,24.55,12800,8920,3,1217,936,1217,911,1016,1016,1,1999,1889,556,1134,1019,12,610,852,610,2,746,489,400,2,2,2,0.544886397,35,2899.708788,183.6,2551.451781,409.3
232,-3.38,10800,10350,5,1522,600,1522,127,2620,2620,4,2136,1636,1181,2563,2080,33,1023,2084,1023,1,1962,819,1571,-34,-45,4,0.528092002,468,3064.850396,431,2571.955575,691
233,22.51,10800,,3,2854,585,2385,45,2211,2211,3,2151,1572,1304,2257,2037,47,1492,,1492,0,1492,1492,11,0,0,1,0.520048796,47,3127.017699,501.5,2588.417661,520.7
234,23.13,10800,10365,4,,598,,3,2214,2214.5,4,2229,1633,1319,1892,2037,37,1492,,1492,0,1492,1492,11,0,0,1,0.517761364,571,3105.356922,221.4,2433.504802,687.4
235,30.18,15800,9065,3,1059,181,1042,88,4614,4614,1,1730,1684,281,3607,3968,9,576,1032,565,2,1382,1323,224,-1,-1,4,0.508810297,62,2794.958161,320.2,1831.250796,611.9
237,2.1,15800,8815,3,1202,906,1201,879,3612,3612,1,1872,1833,299,3124,3208,13,,491,,2,836,76,831,0.7,1,3,0.519620935,316,3049.659077,287.7,1778.518946,532
238,-4.9,10400,8480,5,765,469,765,424,1576,1576,3,1913,1878,268,2678,2936,15,651,540,651,2,1456,942,909,14.1,2,9,0.56397171,44,2901.724733,183.4,3079.070489,1036.7
239,35.91,10300,8480,5,765,469,765,424,1576,1576,3,1913,1878,268,2678,2936,15,651,540,651,2,1456,942,909,14.1,2,9,0.544779338,45,3020.245094,203.8,2234.940362,578.3
240,34.82,10300,8480,5,765,469,765,424,1576,1576,3,1913,1878,268,2678,2936,15,651,540,651,2,1456,942,909,14.1,2,9,0.547460172,121,2711.988942,251.2,2767.440439,586
241,13.46,13000,8275,2,,,,,,,0,,,,,,0,846,581,846,2,1317,1180,291,3.5,3.5,6,0.550263215,519,2576.26137,535.1,1012.064833,315.1
242,13.66,10100,9945,1,1633,1276,1633,162,,,0,2736,1734,1773,3229,4293,19,1016,,1016,1,1016,1016,9,0,0,1,0.551107734,40,2789.521162,450,2937.843594,854.9
243,5.26,12900,8595,4,1946,1968,1946,1949,,,0,2335,2316,228,2560,2707,7,648,586,648,4,893,791,297,-4.6,-8,5,0.565343624,36,2970.475952,171.1,984.4393228,590.6
244,14.4,13000,8275,2,,,,,,,0,,,,,,0,846,581,846,2,1317,1180,291,3.5,3.5,6,0.557698293,57,2597.085479,164.7,1325.000416,953.5
245,30.9,10100,9790,0,2749,1471,2749,9,,,0,2443,1679,1542,1392,1307,12,1906,3549,1905,0,2788,2468,1032,-28.5,-28.5,2,0.544007427,104,2591.577861,423,2666.980485,982.7
246,16.36,13000,9065,3,1059,181,1042,88,4614,4614,1,1730,1684,281,3607,3968,9,576,1032,565,2,1382,1323,224,-1,-1,4,0.560683247,118,2817.625625,278.8,2045.152982,1330.4
247,14.04,12700,8410,3,1205,770,1204,546,4681,4681,1,1729,1668,335,4561,4681,9,1000,611,1000,2,806,750,176,1,1,2,0.558569017,189,2700.095806,179.2,2485.147003,1010.9
248,3.82,10100,9945,1,1633,1276,1633,162,,,0,2736,1734,1773,3229,4293,19,1016,,1016,1,1016,1016,9,0,0,1,0.555160345,237,2876.678038,293.9,2559.673921,907.2
249,24.77,12600,10565,1,768,1182,768,1,1014,1014,1,2423,1458,1723,5390,5779,28,1732,,1732,0,2198,2198,16,-20,-20,2,0.52886577,158,2617.333459,184.1,1913.749196,580.7
250,30.9,12700,10565,1,768,1182,768,1,1014,1014,1,2423,1458,1723,5390,5779,28,1732,,1732,0,2198,2198,16,-20,-20,2,0.526422733,151,2585.380385,159.3,1319.029465,451.6
251,32.79,12700,10565,1,768,1182,768,1,1014,1014,1,2423,1458,1723,5390,5779,28,1732,,1732,0,2198,2198,16,-20,-20,2,0.525669496,225,2623.4198,116,1695.386333,536.6
252,3.9,10000,8450,3,2481,2663,2481,2657,,,0,2708,2690,256,2472,2472,3,651,480,651,3,1161,1050,352,0.7,1,7,0.528055601,52,2739.891112,227.4,2319.774475,475.8
253,-12.43,10300,8450,3,2481,2663,2481,2657,,,0,2708,2690,256,2472,2472,3,651,480,651,3,1161,1050,352,0.7,1,7,0.532353541,47,2931.53319,264,2805.079207,461.8
254,22.47,10200,8450,3,2481,2663,2481,2657,,,0,2708,2690,256,2472,2472,3,651,480,651,3,1161,1050,352,0.7,1,7,0.520780505,121,2747.544833,154.9,2214.142524,481.8
255,-7.45,7600,,5,1012,1268,1012,3,1308,1308,1,2254,2003,746,1425,1317.5,20,713,351,713,4,1699,1382,725,-14.6,-22.5,18,0.483027875,49,3006.098045,257.1,2805.181939,524.9
256,-5.57,7600,9495,6,892,669,888,632,1997,1996.5,2,1947,1923,219,1706,1996.5,8,864,340,864,4,1389,1137,602,0.9,1.5,14,0.482359784,113,3124.461324,167.3,2995.954375,456.3
257,30.95,10100,8350,3,1348,1736,1348,1684,,,0,2168,2142,204,2248,1786,9,650,629,650,3,695,519,313,0.7,1,3,0.558724894,282,2626.5012,230,2511.856437,627.9
258,-4.01,15100,8470,5,1012,612,999,579,2019,2019,3,1856,1817,268,1456,2003.5,12,,482,,2,542,291,452,1,1,2,0.523538231,230,2749.20177,188,2586.205618,500.2
259,35.36,10100,8350,3,1348,1736,1348,1684,,,0,2168,2142,204,2248,1786,9,650,629,650,3,695,519,313,0.7,1,3,0.556859425,367,2528.183455,221,2720.054521,494.4
260,5.7,15300,8470,5,1012,612,999,579,2019,2019,3,1856,1817,268,1456,2003.5,12,,482,,2,542,291,452,1,1,2,0.51916722,49,2582.789304,164.5,2392.027272,450.1
261,13.8,15600,8470,5,1012,612,999,579,2019,2019,3,1856,1817,268,1456,2003.5,12,,482,,2,542,291,452,1,1,2,0.516043157,49,2790.013067,136.4,2428.815475,441.3
262,44.56,13600,8390,4,,,,,,,0,,,,,,0,843,657,843,4,1512,1433,316,1.2,1,10,0.500457436,50,2217.049211,244.6,2051.099384,657.7
263,35.84,13200,8810,4,1781,1587,1778,1491,,,0,2300,2250,295,1923,1481.5,12,666,682,666,4,851,706,343,0,0,5,0.498732522,317,2379.743894,176.5,2201.34,589.4
264,44.16,13600,8870,3,2780,2486,2779,2471,,,0,2629,2606,276,1997,2000,3,858,541,858,3,1024,870,318,-1.2,-1,5,0.500610571,116,2269.023278,235.8,2197.135437,648.6
266,-7.58,10300,9475,3,,,,,,,0,,,,,,0,787,411,787,3,1263,858,689,-1.4,-1.5,10,0.60044287,41,3380.159177,236.4,2756.549842,289.7
267,1.84,10300,8160,2,616,2458,610,2424,1025,1025,1,1870,1864,113,790,1025,7,569,,569,1,1601,1601,44,5,5,4,0.596281978,37,3426.887418,225.7,2834.186764,247.1
268,24.22,13600,8870,3,2780,2486,2779,2471,,,0,2629,2606,276,1997,2000,3,858,541,858,3,1024,870,318,-1.2,-1,5,0.508244392,271,2276.248295,262.4,996.2498269,617.7
269,27.43,12600,9185,4,1325,956,1286,237,2821,2821,2,1981,1681,773,4290,3262,21,1000,593,1000,2,796,750,169,1,1,2,0.521181337,309,2690.113975,146.1,1538.691204,446
270,4.31,8100,8970,8,619,596,614,5,3843,5016,6,1867,1756,452,3443,3998.5,36,,432,,2,1252,658,951,-19.8,-20,4,0.555684381,227,2910.095806,148.8,2736.134359,598.6
271,0.37,7800,8920,7,1086,420,1085,44,3514,1961,7,1784,1565,616,3171,2619,34,1206,,1206,0,1618,1618,14,-0.5,-0.5,2,0.556269245,54,3200.823486,183.1,2704.069504,759
272,4.33,7900,8910,8,1401,250,1401,5,4111,5532,7,1775,1568,590,3277,3263,32,823,,823,1,1015,1015,8,-0.5,-0.5,2,0.55463923,44,3337.386903,198.4,2630.823009,574
273,27.8,12700,10575,1,1018,1275,1018,1,2460,2460,1,2491,1542,1723,3824,3895,21,1763,,1763,0,1791,1791,23,0,0,1,0.521035728,390,2693.826949,278.7,1628.125764,714.8
274,82.85,12600,10575,1,1018,1275,1018,1,2460,2460,1,2491,1542,1723,3824,3895,21,1763,,1763,0,1791,1791,23,0,0,1,0.499371573,473,2460.5397,117.1,1571.429111,635.9
275,1.49,13600,8530,3,,863,,266,1528,1528,1,1882,1681,730,2045,2238,7,840,708,840,2,1182,1067,308,1.5,1.5,4,0.546975982,67,2401.098446,392.5,1218.33913,326.8
276,5.31,13500,8530,3,,863,,266,1528,1528,1,1882,1681,730,2045,2238,7,840,708,840,2,1182,1067,308,1.5,1.5,4,0.54542858,168,2770.815544,301.7,1507.649634,499.1
277,8.26,13600,8530,3,,863,,266,1528,1528,1,1882,1681,730,2045,2238,7,840,708,840,2,1182,1067,308,1.5,1.5,4,0.544233598,256,2583.971528,214.6,1561.060485,420.9
278,44.26,12600,10415,2,,980,,50,1764,1764,2,2071,1242,1483,1840,1764,12,1455,,1455,0,1490,1490,4,0,0,1,0.497453144,204,2090.504617,226.7,2082.40581,451.1
279,24.84,9600,8885,5,1216,819,1215,785,4267,4267,1,1947,1906,320,4366,4272,7,725,538,725,4,825,492,535,1,1,5,0.557633447,48,2780.694513,244.6,1882.284217,994.1
280,62.9,10300,10415,2,,980,,50,1764,1764,2,2071,1242,1483,1840,1764,12,1455,,1455,0,1490,1490,4,0,0,1,0.493733708,56,2241.767857,285.3,2155.205518,676.6
281,64.22,12800,10415,2,,980,,50,1764,1764,2,2071,1242,1483,1840,1764,12,1455,,1455,0,1490,1490,4,0,0,1,0.489859281,301,1975.04237,160.3,1654.048903,751.2
282,31.71,10200,10415,2,,980,,50,1764,1764,2,2071,1242,1483,1840,1764,12,1455,,1455,0,1490,1490,4,0,0,1,0.505681674,133,2395.528511,288.3,2422.351828,376.5
283,40.34,10200,10415,2,,980,,50,1764,1764,2,2071,1242,1483,1840,1764,12,1455,,1455,0,1490,1490,4,0,0,1,0.502375776,189,2302.56621,455.2,2319.878738,830.1
284,67.53,12700,10415,2,,980,,50,1764,1764,2,2071,1242,1483,1840,1764,12,1455,,1455,0,1490,1490,4,0,0,1,0.488599978,386,1997.994967,181.4,1929.637368,497.4
285,4.13,15300,8800,5,1594,1654,1593,1600,,,0,2279,2224,327,1983,2323,11,856,505,856,5,806,646,305,0,0,5,0.573803395,247,2541.351643,450.3,2025.777345,564.9
286,16.7,15300,8800,5,1594,1654,1593,1600,,,0,2279,2224,327,1983,2323,11,856,505,856,5,806,646,305,0,0,5,0.568451351,43,2945.96484,294.8,2364.788103,639.6
287,45.82,15300,8800,5,1594,1654,1593,1600,,,0,2279,2224,327,1983,2323,11,856,505,856,5,806,646,305,0,0,5,0.556052662,346,2420.850104,453.7,2450.138653,390.2
288,21.19,13000,10255,2,772,1000,772,0,4252,4251.5,2,2366,1481,1624,3652,1914,27,1748,,1748,0,1748,1748,24,0,0,1,0.555890747,75,2848.074967,169.7,2566.20147,701
289,6.93,10300,8280,5,938,603,938,48,2850,3581,3,2038,1668,904,3018,3579,23,708,684,708,2,1546,1512,230,-2.8,-1,6,0.513621806,205,2680.928249,213,2614.600416,641.7
290,-11.64,13000,10255,2,772,1000,772,0,4252,4251.5,2,2366,1481,1624,3652,1914,27,1748,,1748,0,1748,1748,24,0,0,1,0.569606335,156,2965.636783,156.3,2945.865871,428.1
291,89.05,10300,9180,6,595,380,593,7,5296,6395,5,1940,1733,687,2628,1999,33,,857,,1,867,234,835,0,0,1,0.480995633,67,2426.467749,210.1,2079.290404,559
